acceptance_rate,augmentation,dataset,detector,detector_hardness,edit_distance,generated,heldout_typology,label_fraction,ledger_violation_rate,mean_flow_residual,median_flow_residual,profile_drift,rho,seed,temporal_violation_rate,run_name,categorical_fractionality_rate,negative_feature_rate,eval_subset,heldout_train_positives
0.949324324324324,random_feasible_v2,transxion,lightgbm,0.018792208128613,0.010453154579805,296,,0.1,0.0,0.0,0.0,0.588954146153252,1.0,0,0.0,cikm_v2_label_scarcity,,,,
0.949324324324324,random_feasible_v2,transxion,lightgbm,0.020395950445163,0.008686528300848,296,,0.1,0.0,0.0,0.0,0.571297422121957,1.0,1,0.0,cikm_v2_label_scarcity,,,,
0.949324324324324,random_feasible_v2,transxion,lightgbm,0.009919282048688,0.008258042054397,296,,0.1,0.0,0.0,0.0,0.491576876055892,1.0,2,0.0,cikm_v2_label_scarcity,,,,
0.95,random_feasible_v2,transxion,lightgbm,0.022307097586856,0.010880316524135,740,,0.25,0.0,0.0,0.0,0.536791623970137,1.0,0,0.0,cikm_v2_label_scarcity,,,,
0.95,random_feasible_v2,transxion,lightgbm,0.024626692821676,0.008675011503782,740,,0.25,0.0,0.0,0.0,0.5228071012922071,1.0,1,0.0,cikm_v2_label_scarcity,,,,
0.95,random_feasible_v2,transxion,lightgbm,0.02535701425932,0.009889510512552,740,,0.25,0.0,0.0,0.0,0.5097221137539371,1.0,2,0.0,cikm_v2_label_scarcity,,,,
0.95,random_feasible_v2,transxion,lightgbm,0.026959858471777,0.008345959079536,2960,,1.0,0.0,0.0,0.0,0.5316713446222701,1.0,0,0.0,cikm_v2_label_scarcity,,,,
0.95,random_feasible_v2,transxion,lightgbm,0.029359461881348,0.008406765528372,2960,,1.0,0.0,0.0,0.0,0.500975989235196,1.0,1,0.0,cikm_v2_label_scarcity,,,,
0.0,adv_no_projection_v2,transxion,lightgbm,6.104068349238807,0.037138202851996,30,,0.01,1.0,0.463453095169161,0.510325974262521,0.9367913121463032,1.0,0,0.02,cikm_v2_label_scarcity,,,,
0.95,random_feasible_v2,transxion,lightgbm,0.028408849731783,0.010245582531555,2960,,1.0,0.0,0.0,0.0,0.53217044553206,1.0,2,0.0,cikm_v2_label_scarcity,,,,
